title,company,location,posted,salary,url,fetched_at
Python Developer,Tata Consultancy Services,,2025-11-07,Not disclosed,https://www.indeed.com/rc/clk?jk=0529077b1bd07205,2025-11-07 21:48:04
Snowflake and Python Developer,MUFG Securities Americas Inc.,,2025-11-07,Not disclosed,https://www.indeed.com/rc/clk?jk=426e14a2eb4fb152,2025-11-07 21:48:04
AI Developer (Gen AI),Elliot Partnership,,2025-11-07,Not disclosed,https://www.indeed.com/rc/clk?jk=b287e41408c9845b,2025-11-07 21:48:04
Backend Engineer,Bevel,,2025-11-07,Not disclosed,https://www.indeed.com/rc/clk?jk=820bf4e9faac18a0,2025-11-07 21:48:04
Algorithmic Trading Developer,"CGI Group, Inc.",,2025-11-07,Not disclosed,https://www.indeed.com/rc/clk?jk=33058f0bd6f2d31e,2025-11-07 21:48:04
"Technical Architect - Python, GCP, Microservices",Tata Consultancy Services,,2025-11-07,Not disclosed,https://www.indeed.com/rc/clk?jk=eb2f81e0626cddf4,2025-11-07 21:48:04
Full Stack Developer,Tata Consultancy Services,,2025-11-07,Not disclosed,https://www.indeed.com/rc/clk?jk=7cc4585122b5e6ad,2025-11-07 21:48:04
Full Stack Developer,Tata Consultancy Services,,2025-11-07,Not disclosed,https://www.indeed.com/viewjob?jk=abcdef0123456789,2025-11-07 21:48:04
Developer,Tata Consultancy Services,,2025-11-07,Not disclosed,https://www.indeed.com/rc/clk?jk=b3ec33a9fbc944de,2025-11-07 21:48:04
Python Backend Senior Engineer with API Development and Devops,Tata Consultancy Services,,2025-11-07,Not disclosed,https://www.indeed.com/rc/clk?jk=c3c9dbfe091fbe79,2025-11-07 21:48:04
Developer,Tata Consultancy Services,,2025-11-07,Not disclosed,https://www.indeed.com/rc/clk?jk=cb88a1581b69e5b3,2025-11-07 21:48:04
Python Engineer,Tata Consultancy Services,,2025-11-07,Not disclosed,https://www.indeed.com/rc/clk?jk=1cf0343d27478530,2025-11-07 21:48:04
Software Engineer,Accrete,,2025-11-07,Not disclosed,https://www.indeed.com/rc/clk?jk=f9713d481bc58bea,2025-11-07 21:48:04
